iter	Passed	Remaining
438	1292	1652
439	1294	1647
440	1296	1643
441	1298	1638
442	1300	1634
443	1303	1632
444	1305	1628
445	1308	1625
446	1311	1621
447	1312	1617
448	1314	1613
449	1317	1609
450	1319	1605
451	1321	1602
452	1324	1598
453	1325	1594
454	1327	1590
455	1329	1585
456	1333	1583
457	1335	1580
458	1338	1577
459	1340	1573
460	1342	1569
461	1343	1564
462	1347	1562
463	1349	1558
464	1352	1556
465	1354	1552
466	1356	1548
467	1358	1543
468	1360	1540
469	1363	1537
470	1365	1533
471	1368	1531
472	1370	1526
473	1372	1522
474	1373	1518
475	1376	1515
476	1379	1512
477	1381	1509
478	1384	1505
479	1385	1501
480	1387	1497
481	1389	1493
482	1392	1490
483	1394	1487
484	1397	1484
485	1399	1479
486	1401	1475
487	1402	1471
488	1404	1467
489	1407	1464
490	1409	1461
491	1412	1458
492	1414	1454
493	1415	1449
494	1417	1445
495	1418	1441
496	1421	1439
497	1424	1435
498	1427	1432
499	1428	1428
500	1430	1424
501	1432	1420
502	1434	1417
503	1437	1414
504	1440	1411
505	1442	1407
506	1443	1403
507	1445	1399
508	1447	1396
509	1449	1392
510	1452	1390
511	1455	1387
512	1457	1383
513	1458	1379
514	1460	1375
515	1461	1371
516	1463	1367
517	1466	1364
518	1468	1361
519	1471	1358
520	1473	1354
521	1474	1350
522	1477	1347
523	1479	1343
524	1483	1342
525	1485	1338
526	1487	1335
527	1489	1331
528	1490	1327
529	1492	1323
530	1494	1320
531	1497	1317
532	1499	1313
533	1501	1310
534	1503	1306
535	1504	1302
536	1506	1298
537	1509	1295
538	1511	1293
539	1514	1289
540	1516	1286
541	1518	1282
542	1520	1279
543	1522	1276
544	1526	1274
545	1528	1271
546	1530	1267
547	1532	1264
548	1534	1260
549	1536	1257
550	1539	1254
551	1541	1251
552	1544	1248
553	1546	1245
554	1548	1241
555	1550	1237
556	1552	1234
557	1556	1232
558	1558	1229
559	1562	1227
560	1563	1223
561	1565	1220
562	1568	1217
563	1571	1214
564	1574	1212
565	1576	1209
566	1578	1205
567	1580	1201
568	1584	1200
569	1586	1197
570	1589	1194
571	1592	1191
572	1593	1187
573	1595	1184
574	1599	1182
575	1602	1179
576	1605	1176
577	1606	1173
578	1608	1169
579	1610	1166
580	1614	1164
581	1616	1161
582	1620	1158
583	1622	1155
584	1624	1152
585	1625	1148
586	1629	1146
587	1631	1143
588	1634	1140
589	1636	1137
590	1638	1133
591	1640	1130
592	1642	1127
593	1645	1124
594	1648	1121
595	1649	1118
596	1651	1114
597	1653	1111
598	1655	1108
599	1657	1105
600	1660	1102
601	1662	1099
602	1664	1095
603	1666	1092
604	1668	1089
605	1669	1085
606	1672	1083
607	1675	1080
608	1677	1076
609	1678	1073
610	1680	1069
611	1682	1066
612	1684	1063
613	1686	1060
614	1689	1057
615	1690	1054
616	1692	1050
617	1694	1047
618	1695	1043
619	1697	1040
620	1699	1037
621	1701	1033
622	1704	1031
623	1706	1028
624	1707	1024
625	1709	1021
626	1710	1017
627	1712	1014
628	1714	1011
629	1716	1008
630	1718	1005
631	1720	1001
632	1722	998
633	1723	995
634	1725	991
635	1727	988
636	1728	985
637	1730	981
638	1733	979
639	1734	975
640	1736	972
641	1738	969
642	1739	965
643	1741	962
644	1743	959
645	1745	956
646	1748	953
647	1749	950
648	1751	947
649	1753	944
650	1755	940
651	1756	937
652	1758	934
653	1760	931
654	1762	928
655	1764	925
656	1766	922
657	1767	918
658	1769	915
659	1771	912
660	1772	909
661	1774	905
662	1776	903
663	1778	900
664	1780	896
665	1781	893
666	1783	890
667	1784	887
668	1786	883
669	1788	880
670	1790	878
